"lake","frog_number","complete_bolus","order","family","length","frog_length","frog_weight","frog_sex","fish","aquatic","frog_id"
"Adams",1,"yes","Araneae","Unknown",5.9,66.8,24.5,"F",0,0,"Adams1"
"Adams",1,"yes","Araneae","Unknown",1.6,66.8,24.5,"F",0,0,"Adams1"
"Adams",1,"yes","Coleoptera","Unknown",9.6,66.8,24.5,"F",0,0,"Adams1"
"Adams",1,"yes","Diptera","Unknown",NA,66.8,24.5,"F",0,NA,"Adams1"
"Adams",1,"yes","Hymenoptera","Formicidae",9.1,66.8,24.5,"F",0,0,"Adams1"
"Adams",1,"yes","Neuroptera","Raphididae",NA,66.8,24.5,"F",0,0,"Adams1"
"Adams",1,"yes","Trichoptera","Limnephilidae",NA,66.8,24.5,"F",0,1,"Adams1"
"Adams",2,"no","Araneae","Unknown",3.9,48.3,8.5,"M",0,0,"Adams2"
"Adams",2,"no","Diptera","Therevidae",10.7,48.3,8.5,"M",0,0,"Adams2"
"Adams",2,"no","Diptera","Tipulidae",11.5,48.3,8.5,"M",0,1,"Adams2"
"Adams",2,"no","Hemiptera","Gerridae",10,48.3,8.5,"M",0,1,"Adams2"
"Adams",2,"no","Hemiptera","Saldidae",4.1,48.3,8.5,"M",0,0,"Adams2"
"Adams",2,"no","Trichoptera","Limnephilidae",14,48.3,8.5,"M",0,1,"Adams2"
"Adams",3,"yes","Araneae","Unknown",2.5,46.4,8,"F",0,0,"Adams3"
"Adams",3,"yes","Araneae","Unknown",4,46.4,8,"F",0,0,"Adams3"
"Adams",3,"yes","Araneae","Unknown",6,46.4,8,"F",0,0,"Adams3"
"Adams",3,"yes","Araneae","Unknown",4.7,46.4,8,"F",0,0,"Adams3"
"Adams",3,"yes","Diptera","Sciaridae",3.1,46.4,8,"F",0,0,"Adams3"
"Adams",3,"yes","Hymenoptera","Formicidae",NA,46.4,8,"F",0,0,"Adams3"
"Adams",3,"yes","Odonata","Coenagrionidae",NA,46.4,8,"F",0,1,"Adams3"
"Adams",3,"yes","Odonata","Coenagrionidae",NA,46.4,8,"F",0,1,"Adams3"
"Adams",3,"yes","Odonata","Coenagrionidae",NA,46.4,8,"F",0,1,"Adams3"
"Adams",4,"yes","Coleoptera","Chrysomelidae",10.3,82.8,56,"F",0,0,"Adams4"
"Adams",4,"yes","Coleoptera","Melandryidae",5.6,82.8,56,"F",0,0,"Adams4"
"Adams",4,"yes","Diptera","Unknown",2,82.8,56,"F",0,NA,"Adams4"
"Adams",4,"yes","Hemiptera","Gerridae",13.9,82.8,56,"F",0,1,"Adams4"
"Adams",4,"yes","Hemiptera","Gerridae",9.6,82.8,56,"F",0,1,"Adams4"
"Adams",4,"yes","Hemiptera","Saldidae",4,82.8,56,"F",0,0,"Adams4"
"Adams",4,"yes","Hemiptera","Gerridae",17,82.8,56,"F",0,1,"Adams4"
"Adams",4,"yes","Homoptera","Aphidoidea",NA,82.8,56,"F",0,0,"Adams4"
"Adams",4,"yes","Hymenoptera","Formicidae",6.5,82.8,56,"F",0,0,"Adams4"
"Adams",4,"yes","Odonata","Coenagrionidae",9.9,82.8,56,"F",0,1,"Adams4"
"Adams",4,"yes","Unknown","Unknown",4.9,82.8,56,"F",0,NA,"Adams4"
"Adams",4,"yes","Unknown","Unknown",4.4,82.8,56,"F",0,NA,"Adams4"
"Adams",4,"yes","Unknown","Unknown",NA,82.8,56,"F",0,NA,"Adams4"
"Adams",5,"yes","Araneae","Unknown",3.3,44.4,8.5,"M",0,0,"Adams5"
"Adams",5,"yes","Araneae","Unknown",NA,44.4,8.5,"M",0,0,"Adams5"
"Adams",5,"yes","Coleoptera","Unknown",NA,44.4,8.5,"M",0,NA,"Adams5"
"Adams",5,"yes","Coleoptera","Unknown",NA,44.4,8.5,"M",0,NA,"Adams5"
"Adams",5,"yes","Coleoptera","Unknown",NA,44.4,8.5,"M",0,NA,"Adams5"
"Adams",5,"yes","Diptera","Muscoidea",5.7,44.4,8.5,"M",0,NA,"Adams5"
"Adams",5,"yes","Hemiptera","Gerridae",NA,44.4,8.5,"M",0,1,"Adams5"
"Adams",5,"yes","Hymenoptera","Formicidae",6.3,44.4,8.5,"M",0,0,"Adams5"
"Adams",5,"yes","Trichoptera","Limnephilidae",NA,44.4,8.5,"M",0,1,"Adams5"
"Adams",6,"no","Hemiptera","Gerridae",9.3,46.1,10,"M",0,1,"Adams6"
"Adams",6,"no","Hemiptera","Gerridae",NA,46.1,10,"M",0,1,"Adams6"
"Adams",6,"no","Hymenoptera","Unknown",NA,46.1,10,"M",0,NA,"Adams6"
"Adams",6,"no","Odonata","Unknown",NA,46.1,10,"M",0,1,"Adams6"
"Adams",6,"no","Odonata","Unknown",NA,46.1,10,"M",0,1,"Adams6"
"Adams",7,"no","Hemiptera","Gerridae",NA,46.2,9,"F",0,1,"Adams7"
"Adams",8,"no","Diptera","Unknown",11.2,63.3,26.5,"M",0,NA,"Adams8"
"Adams",8,"no","Hymenoptera","Formicidae",4,63.3,26.5,"M",0,0,"Adams8"
"Adams",8,"no","Odonata","Coenagrionidae",30.7,63.3,26.5,"M",0,1,"Adams8"
"Adams",8,"no","Odonata","Coenagrionidae",31.3,63.3,26.5,"M",0,1,"Adams8"
"Adams",8,"no","Odonata","Coenagrionidae",NA,63.3,26.5,"M",0,1,"Adams8"
"Adams",8,"no","Odonata","Coenagrionidae",NA,63.3,26.5,"M",0,1,"Adams8"
"Adams",9,"yes","Araneae","Unknown",NA,49.1,10,"F",0,0,"Adams9"
"Adams",9,"yes","Coleoptera","Unknown",NA,49.1,10,"F",0,NA,"Adams9"
"Adams",9,"yes","Coleoptera","Unknown",NA,49.1,10,"F",0,NA,"Adams9"
"Adams",9,"yes","Coleoptera","Unknown",4.5,49.1,10,"F",0,NA,"Adams9"
"Adams",9,"yes","Diptera","Tabanidae",NA,49.1,10,"F",0,0,"Adams9"
"Adams",9,"yes","Diptera","Tipulidae",NA,49.1,10,"F",0,1,"Adams9"
"Adams",9,"yes","Hemiptera","Saldidae",3.9,49.1,10,"F",0,0,"Adams9"
